2006,1.3259071
2007,1.3355847
2008,1.349071
2009,1.3681595
2010,1.3937417
2011,1.4253798
2012,1.4612968
2013,1.4986315
2014,1.535142
2015,1.5706099
2016,1.6058086
2017,1.6409406
2018,1.6756892
2019,1.7087207
2020,1.7393987
2021,1.7692943
2022,1.8008007
2023,1.8365169
2024,1.8768663
2025,1.919994
2026,1.9620191
2027,1.9994531
2028,2.0306471
2029,2.0581588
2030,2.0854613
2031,2.1153915
2032,2.1489238
2033,2.1842939
2034,2.2198425
2035,2.2564021
2036,2.295305
2037,2.3373233
2038,2.3815462
2039,2.4263971
2040,2.4703921
2041,2.5135237
2042,2.5562611
2043,2.5987478
2044,2.6400638
2045,2.6802235
2046,2.7192347
2047,2.7578751
2048,2.7971242
2049,2.8378227
2050,2.8802978
2051,2.9241035
2052,2.9676023
2053,3.0092296
2054,3.0480635
2055,3.0849098
2056,3.1225477
2057,3.162811
2058,3.2061306
2059,3.2508139
2060,3.2943506
2061,3.3347565
2062,3.3738292
2063,3.4146586
2064,3.4617679
2065,3.5170806
2066,3.5796769
2067,3.6454093
2068,3.7104756
2069,3.7720596
2070,3.8290255
2071,3.8806702
2072,3.9273416
2073,3.9704106
2074,4.0129803
2075,4.0597532
2076,4.1139335
2077,4.1758829
2078,4.242239
2079,4.307531
2080,4.3672647
2081,4.4205913
2082,4.4697063
2083,4.5177734
2084,4.566275
2085,4.6154049
2086,4.6651203
2087,4.716174
2088,4.768945
2089,4.8219369
2090,4.8715537
2091,4.9148245
2092,4.9512175
2093,4.983242
2094,5.0138279
2095,5.0448801
2096,5.0763012
2097,5.1062048
2098,5.1333526
2099,5.1566886
