year,high,low,value
2006,1.7624408,1.0203682,1.3914045
2007,1.7824077,1.0279527,1.4051802
2008,1.8064833,1.041621,1.4240522
2009,1.8347582,1.0643111,1.4495346
2010,1.8668117,1.0985769,1.4826943
2011,1.9030796,1.1455752,1.5243274
2012,1.9447463,1.2025949,1.5736706
2013,1.9939144,1.2634915,1.6287029
2014,2.0510094,1.3210187,1.686014
2015,2.1135682,1.3703298,1.741949
2016,2.1777768,1.4100236,1.7939002
2017,2.2414031,1.444008,1.8427056
2018,2.3039719,1.4782427,1.8911073
2019,2.3668208,1.5193062,1.9430635
2020,2.4317831,1.5689533,2.0003682
2021,2.4994907,1.6248258,2.0621583
2022,2.5693485,1.6821354,2.1257419
2023,2.6406954,1.738867,2.1897812
2024,2.7128515,1.7949004,2.253876
2025,2.7854675,1.850632,2.3180497
2026,2.8574962,1.9050573,2.3812768
2027,2.9270341,1.955273,2.4411536
2028,2.9920778,1.999019,2.4955484
2029,3.0529639,2.0376084,2.5452861
2030,3.1125331,2.075269,2.593901
2031,3.1745744,2.1160109,2.6452926
2032,3.2412109,2.1631276,2.7021693
2033,3.3118478,2.2165788,2.7642133
2034,3.3840924,2.2748628,2.8294776
2035,3.4564487,2.3361875,2.8963181
2036,3.528823,2.3997569,2.96429
2037,3.6023812,2.4650647,3.0337229
2038,3.6787025,2.5311137,3.1049081
2039,3.757511,2.5971953,3.1773532
2040,3.8378896,2.6629978,3.2504437
2041,3.9193762,2.7285338,3.323955
2042,4.0021824,2.7929048,3.3975436
2043,4.08671,2.8557937,3.4712519
2044,4.1748231,2.9159621,3.5453926
2045,4.2673629,2.9737004,3.6205316
2046,4.3641007,3.0306101,3.6973554
2047,4.4638296,3.0883446,3.7760871
2048,4.5650273,3.149043,3.8570351
2049,4.6653698,3.2138648,3.9396173
2050,4.7641916,3.282721,4.0234563
2051,4.8619385,3.355656,4.1087973
2052,4.958833,3.4322581,4.1955455
2053,5.0557479,3.5103344,4.2830411
2054,5.1541463,3.5876288,4.3708876
2055,5.2545259,3.6619557,4.4582408
2056,5.3567721,3.7329403,4.5448562
2057,5.4592622,3.8036065,4.6314344
2058,5.5600537,3.8775163,4.718785
2059,5.6582204,3.9565125,4.8073665
2060,5.7543993,4.0387569,4.8965781
2061,5.8497593,4.121385,4.9855722
2062,5.9459664,4.2018479,5.0739071
2063,6.0434489,4.2798439,5.1616464
2064,6.1425786,4.3570602,5.2498194
2065,6.2441585,4.4342834,5.339221
2066,6.3487627,4.5098397,5.4293012
2067,6.4560672,4.5828781,5.5194726
2068,6.5650881,4.652682,5.6088851
2069,6.6735941,4.7212552,5.6974247
2070,6.7797317,4.7917777,5.7857547
2071,6.8837456,4.8663458,5.8750457
2072,6.9863123,4.9442566,5.9652844
2073,7.0888408,5.0238293,6.056335
2074,7.1926837,5.1020928,6.1473882
2075,7.2976252,5.1778963,6.2377608
2076,7.4025341,5.2512078,6.326871
2077,7.5069238,5.3228011,6.4148625
2078,7.6096966,5.3932494,6.501473
2079,7.7106754,5.4625597,6.5866175
2080,7.8101346,5.5298664,6.6700005
2081,7.908532,5.5948066,6.7516693
2082,8.0067331,5.6579679,6.8323505
2083,8.1057978,5.7221146,6.9139562
2084,8.2056847,5.7910649,6.9983748
2085,8.3066636,5.8677756,7.0872196
2086,8.4092217,5.9518727,7.1805472
2087,8.5146125,6.040598,7.2776052
2088,8.6231431,6.1303054,7.3767242
2089,8.7335224,6.2185965,7.4760594
2090,8.8417931,6.3041386,7.5729658
2091,8.9449893,6.3861272,7.6655583
2092,9.0422475,6.4643599,7.7533037
2093,9.1374719,6.5396379,7.8385549
2094,9.2357997,6.6134405,7.9246201
2095,9.3403708,6.6865026,8.0134367
2096,9.4474085,6.7565664,8.1019874
2097,9.5487509,6.8192745,8.1840127
2098,9.6373665,6.871359,8.2543627
2099,9.7086838,6.9114567,8.3100703
